net,length_um
_1297_,24.3µm
_0794_,24.22µm
_0957_,24.22µm
_1550_,24.22µm
_0504_,24.18µm
_0689_,24.14µm
_1229_,24.14µm
_1266_,24.14µm
_0222_,24.06µm
_0390_,24.06µm
_0125_,24.04µm
_0522_,23.98µm
_1454_,23.98µm
_0312_,23.96µm
_0780_,23.96µm
_1173_,23.94µm
_0168_,23.92µm
_1044_,23.92µm
_1574_,23.92µm
_0443_,23.9µm
X_crt\[2\],23.88µm
_0592_,23.87µm
_0594_,23.855µm
_0577_,23.8µm
_0479_,23.74µm
_0123_,23.66µm
_1499_,23.48µm
_1251_,23.46µm
_0433_,23.44µm
_0375_,23.4µm
_0402_,23.385µm
_0414_,23.34µm
_0394_,23.33µm
_1601_,23.24µm
_0960_,23.16µm
_0280_,23.14µm
_0793_,23µm
_0817_,22.94µm
_0606_,22.88µm
_1372_,22.78µm
_1211_,22.74µm
_1161_,22.66µm
_1374_,22.66µm
_0867_,22.64µm
_0813_,22.62µm
_0233_,22.56µm
_0446_,22.56µm
_1540_,22.54µm
_0404_,22.52µm
_1252_,22.5µm
_0822_,22.48µm
_0995_,22.48µm
_1487_,22.44µm
_0991_,22.42µm
_0582_,22.39µm
_1076_,22.38µm
_1364_,22.3µm
_0844_,22.26µm
_1067_,22.22µm
_1022_,22.18µm
_0760_,22.16µm
_0410_,22.14µm
_1571_,22.08µm
u_crt.r0\[1\],22.08µm
ALU_EN,22.045µm
_0921_,22.04µm
_0456_,22µm
_1589_,22µm
_0138_,21.98µm
_0137_,21.96µm
_0593_,21.96µm
_0452_,21.94µm
_0480_,21.94µm
_1410_,21.94µm
_0733_,21.92µm
_0814_,21.9µm
_1083_,21.9µm
_0978_,21.84µm
_1370_,21.82µm
_0261_,21.78µm
_0556_,21.7µm
_1584_,21.66µm
net169,21.66µm
_0989_,21.64µm
_0368_,21.58µm
_0451_,21.58µm
_1169_,21.48µm
_1473_,21.48µm
_1466_,21.4µm
_1516_,21.38µm
net45,21.38µm
X_crt\[10\],21.26µm
_1030_,21.26µm
_1523_,21.18µm
_0729_,21.16µm
_1593_,21.14µm
_1424_,21.08µm
_0405_,21.07µm
_0416_,21.04µm
_1483_,21.04µm
_1088_,21µm
_0330_,20.96µm
_1338_,20.94µm
_1442_,20.94µm
_0254_,20.84µm
_1113_,20.8µm
_0114_,20.74µm
_0328_,20.74µm
_0284_,20.72µm
_0955_,20.72µm
_1377_,20.7µm
_0462_,20.68µm
_0371_,20.67µm
_0106_,20.62µm
_0621_,20.62µm
_1272_,20.62µm
_0155_,20.6µm
_1420_,20.6µm
_0113_,20.54µm
_1300_,20.54µm
_0583_,20.52µm
_0600_,20.52µm
CU_state_dbg\[0\],20.48µm
X_crt\[3\],20.48µm
_1007_,20.46µm
