net,length_um
_0238_,25.205µm
_0135_,25.19µm
_0123_,25.17µm
_0113_,25.14µm
_0352_,25.08µm
_0132_,25.04µm
_0173_,24.98µm
_0763_,24.98µm
_0793_,24.92µm
_1568_,24.92µm
_1539_,24.86µm
_1493_,24.84µm
_0884_,24.82µm
_1589_,24.78µm
_1442_,24.74µm
_1255_,24.6µm
_0593_,24.5µm
_1223_,24.46µm
_1261_,24.46µm
_0960_,24.4µm
_1194_,24.36µm
_0844_,24.32µm
_0314_,24.3µm
_0531_,24.3µm
_0712_,24.28µm
_0744_,24.14µm
_1238_,24.14µm
_0414_,24.12µm
_0483_,24.02µm
_0312_,23.96µm
_0780_,23.96µm
_0404_,23.88µm
_0577_,23.8µm
net373,23.76µm
_1173_,23.61µm
_1251_,23.46µm
_1483_,23.46µm
_0433_,23.44µm
_0446_,23.44µm
_1578_,23.44µm
X_crt\[2\],23.42µm
_0375_,23.4µm
_0621_,23.36µm
_0155_,23.34µm
_0988_,23.335µm
_1473_,23.32µm
_1550_,23.32µm
_1377_,23.26µm
_0689_,23.22µm
_1595_,23.15µm
_1022_,23.1µm
_0581_,23.04µm
_0410_,23.02µm
_1573_,23µm
_0363_,22.96µm
_0522_,22.96µm
_1212_,22.92µm
_1499_,22.9µm
_0606_,22.88µm
_0222_,22.8µm
_1600_,22.8µm
_0138_,22.78µm
_1410_,22.76µm
_0582_,22.72µm
_0536_,22.68µm
_1161_,22.66µm
_0764_,22.64µm
_1374_,22.62µm
_1300_,22.6µm
_0153_,22.54µm
_1297_,22.53µm
_1252_,22.5µm
_0496_,22.48µm
_0995_,22.48µm
_0280_,22.44µm
_0877_,22.36µm
_0870_,22.285µm
_0242_,22.28µm
_0978_,22.26µm
_0932_,22.23µm
_1067_,22.22µm
_0822_,22.14µm
_1601_,22.12µm
_0334_,22.07µm
_0456_,22µm
_1033_,22µm
_1326_,22µm
_1088_,21.92µm
_0261_,21.78µm
_0318_,21.76µm
_0979_,21.74µm
_0867_,21.72µm
_0583_,21.66µm
_0254_,21.64µm
_0368_,21.58µm
