Metric,Value
timing__setup__ws,-7.333792447574434
timing__hold__tns,0.0
timing__setup__tns,-127.42106397338395
timing__hold__wns,0
timing__setup__wns,-7.333792447574434
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125389
timing__hold_r2r_vio__count,0
timing__setup_vio__count,108
timing__setup_r2r__ws,-7.333792
timing__setup_r2r_vio__count,108
design__die__bbox,0.0 0.0 431.27 441.99
design__core__bbox,5.52 10.88 425.5 429.76
design__io,56
design__die__area,190617
design__core__area,175921
design__instance__count__stdcell,5317
design__instance__area__stdcell,23274.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.132303
design__instance__utilization__stdcell,0.132303
design__instance__count__class:inverter,59
design__instance__count__class:sequential_cell,110
design__instance__count__class:multi_input_combinational_cell,1549
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,14434
design__instance__count__class:tap_cell,2496
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,54
design__io__hpwl,7257526
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,41496.1
design__violations,0
design__instance__count__class:timing_repair_buffer,190
design__instance__count__class:clock_buffer,9
design__instance__count__class:clock_inverter,7
design__instance__count__setup_buffer,137
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,897
antenna_diodes_count,2
route__net,1954
route__net__special,2
route__drc_errors__iter:1,501
route__wirelength__iter:1,47344
route__drc_errors__iter:2,148
route__wirelength__iter:2,46869
route__drc_errors__iter:3,123
route__wirelength__iter:3,46756
route__drc_errors__iter:4,2
route__wirelength__iter:4,46738
route__drc_errors__iter:5,0
route__wirelength__iter:5,46735
route__drc_errors,0
route__wirelength,46735
route__vias,14117
route__vias__singlecut,14117
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2151.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.1199513439194582
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.11512437162762808
timing__hold__ws__corner:min_tt_025C_1v80,0.2569363128315473
timing__setup__ws__corner:min_tt_025C_1v80,2.837948623095815
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.256936
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,2.837949
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,0
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.12698907562717332
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.11997030097813982
timing__hold__ws__corner:min_ss_100C_1v60,0.6279781872255736
timing__setup__ws__corner:min_ss_100C_1v60,-7.116669233132298
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-119.40067050811246
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-7.116669233132298
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.627978
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,36
timing__setup_r2r__ws__corner:min_ss_100C_1v60,-7.116669
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,36
timing__unannotated_net__count__corner:min_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.11611865964102713
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.11240729498704315
timing__hold__ws__corner:min_ff_n40C_1v95,0.12538923032565397
timing__setup__ws__corner:min_ff_n40C_1v95,6.620393309840273
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.125389
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,6.620393
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,0
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.1285831616465896
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.12195790555976392
timing__hold__ws__corner:max_tt_025C_1v80,0.2592620080893072
timing__setup__ws__corner:max_tt_025C_1v80,2.7016425417046963
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.259262
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,2.701643
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,24
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.13694672172780906
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.12780464548412887
timing__hold__ws__corner:max_ss_100C_1v60,0.6318703517042312
timing__setup__ws__corner:max_ss_100C_1v60,-7.333792447574434
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-127.42106397338395
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-7.333792447574434
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.631870
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,36
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-7.333792
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,36
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.1241127374892017
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.1188053439254534
timing__hold__ws__corner:max_ff_n40C_1v95,0.12710291512378044
timing__setup__ws__corner:max_ff_n40C_1v95,6.520340008031353
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.127103
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.520340
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.76596
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79913
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0340372
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0300567
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000808739
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0300567
design_powergrid__voltage__worst,0.0300567
design_powergrid__voltage__worst__net:VPWR,1.76596
design_powergrid__drop__worst,0.0340372
design_powergrid__drop__worst__net:VPWR,0.0340372
design_powergrid__voltage__worst__net:VGND,0.0300567
design_powergrid__drop__worst__net:VGND,0.0300567
ir__voltage__worst,1.770000000000000017763568394002504646778106689453125
ir__drop__avg,0.000867999999999999956486196328597770843771286308765411376953125
ir__drop__worst,0.0340000000000000024424906541753443889319896697998046875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
