Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-05-48/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      520 |       0 |     204 |      152 |      0 |    94 |   -9.218 |     -215.0 |     39 | _3238_/D
      524 |       0 |     200 |      151 |      0 |    92 |   -9.218 |     -213.0 |     39 | _3238_/D
      530 |       0 |     202 |      157 |      0 |    92 |   -9.218 |     -214.6 |     39 | _3238_/D
      531 |       0 |     200 |      154 |      0 |    92 |   -9.218 |     -213.0 |     39 | _3238_/D
      540 |       0 |     204 |      160 |      0 |    93 |   -9.218 |     -214.8 |     39 | _3238_/D
      544 |       0 |     206 |      160 |      0 |    93 |   -9.218 |     -215.0 |     39 | _3238_/D
      550 |       0 |     211 |      160 |      0 |    93 |   -9.230 |     -214.8 |     39 | _3238_/D
      560 |       0 |     221 |      160 |      0 |    93 |   -9.230 |     -214.2 |     39 | _3238_/D
      570 |       0 |     230 |      160 |      0 |    94 |   -9.230 |     -213.8 |     39 | _3238_/D
      580 |       0 |     237 |      162 |      0 |    96 |   -9.240 |     -213.6 |     39 | _3238_/D
      590 |       0 |     242 |      166 |      0 |    99 |   -9.240 |     -213.2 |     39 | _3238_/D
      595 |       0 |     212 |      166 |      0 |    93 |   -9.218 |     -215.0 |     39 | _3238_/D
      600 |       0 |     215 |      166 |      0 |    94 |   -9.218 |     -216.1 |     39 | _3238_/D
      604 |       0 |     218 |      166 |      0 |    95 |   -9.218 |     -215.8 |     39 | _3238_/D
      608 |       0 |     219 |      168 |      0 |    95 |   -9.218 |     -214.9 |     39 | _3238_/D
      610 |       0 |     220 |      168 |      0 |    95 |   -9.229 |     -215.2 |     39 | _3238_/D
      620 |       0 |     230 |      168 |      0 |    95 |   -9.230 |     -214.3 |     39 | _3238_/D
      630 |       0 |     239 |      168 |      0 |    96 |   -9.230 |     -214.3 |     39 | _3238_/D
      640 |       0 |     248 |      170 |      0 |    96 |   -9.240 |     -213.8 |     39 | _3238_/D
