Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-13-35/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      543 |       0 |     209 |      173 |      0 |    97 |   -9.377 |     -222.8 |     39 | _3238_/D
      550 |       0 |     212 |      180 |      0 |    97 |   -9.377 |     -224.5 |     39 | _3238_/D
      560 |       0 |     219 |      186 |      0 |    97 |   -9.377 |     -225.8 |     39 | _3238_/D
      565 |       0 |     213 |      180 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      570 |       0 |     214 |      187 |      0 |    97 |   -9.377 |     -224.3 |     39 | _3238_/D
      580 |       0 |     221 |      193 |      0 |    97 |   -9.377 |     -225.4 |     39 | _3238_/D
      584 |       0 |     215 |      187 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      590 |       0 |     216 |      194 |      0 |    98 |   -9.377 |     -224.3 |     39 | _3238_/D
      600 |       0 |     223 |      200 |      0 |    98 |   -9.377 |     -225.4 |     39 | _3238_/D
      604 |       0 |     216 |      194 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      610 |       0 |     218 |      201 |      0 |    97 |   -9.377 |     -224.1 |     39 | _3238_/D
      620 |       0 |     224 |      207 |      0 |    98 |   -9.377 |     -225.3 |     39 | _3238_/D
      623 |       0 |     217 |      201 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      630 |       0 |     220 |      208 |      0 |    97 |   -9.377 |     -224.2 |     39 | _3238_/D
      640 |       0 |     226 |      214 |      0 |    98 |   -9.377 |     -225.4 |     39 | _3238_/D
