Metric,Value
timing__unannotated_net__count__corner:max_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.13588362764051287
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.12697192268095775
timing__hold__ws__corner:max_ss_100C_1v60,0.6390269605456702
timing__setup__ws__corner:max_ss_100C_1v60,-8.221849211947022
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-160.0035846882033
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-8.221849211947022
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.639027
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,39
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-8.221849
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,39
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.12212810275425245
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.11692754040407012
timing__hold__ws__corner:max_ff_n40C_1v95,0.12970103136391237
timing__setup__ws__corner:max_ff_n40C_1v95,5.582542142124316
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.129701
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,5.582542
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.76589
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79906
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0341094
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0332288
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.00090613
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0332288
design_powergrid__voltage__worst,0.0332288
design_powergrid__voltage__worst__net:VPWR,1.76589
design_powergrid__drop__worst,0.0341094
design_powergrid__drop__worst__net:VPWR,0.0341094
design_powergrid__voltage__worst__net:VGND,0.0332288
design_powergrid__drop__worst__net:VGND,0.0332288
ir__voltage__worst,1.770000000000000017763568394002504646778106689453125
ir__drop__avg,0.00093599999999999998305522108665854830178432166576385498046875
ir__drop__worst,0.034099999999999998367972153801019885577261447906494140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
