net,length_um
_0416_,21.5µm
_1473_,21.48µm
net45,21.38µm
_0934_,21.32µm
_1507_,21.28µm
_1272_,21.2µm
_0137_,21.16µm
_0981_,21.16µm
u_crt.r0\[1\],21.16µm
_1366_,21.14µm
_0261_,21.1µm
_0913_,21.04µm
_0330_,21µm
_1106_,20.94µm
_1495_,20.9µm
_0334_,20.86µm
_1539_,20.86µm
_0929_,20.84µm
_0353_,20.82µm
_1279_,20.78µm
_0385_,20.755µm
_0726_,20.7µm
_1359_,20.7µm
_1377_,20.7µm
_0462_,20.68µm
_0371_,20.67µm
_0478_,20.66µm
_0943_,20.66µm
_0254_,20.62µm
_0793_,20.62µm
_1338_,20.6µm
_1260_,20.58µm
_1266_,20.58µm
_0123_,20.57µm
_0600_,20.52µm
_0966_,20.52µm
_0399_,20.48µm
_1171_,20.32µm
_0796_,20.16µm
_1222_,20.16µm
_1394_,20.16µm
_0446_,20.12µm
_1063_,20.12µm
_1519_,20.12µm
_1540_,20.11µm
_0817_,20.08µm
_0950_,20.02µm
_1559_,20µm
_1599_,20µm
_0675_,19.94µm
_1290_,19.94µm
_1113_,19.9µm
_1202_,19.9µm
_0534_,19.82µm
_1022_,19.82µm
net32,19.82µm
_0284_,19.8µm
X_crt\[10\],19.78µm
_0733_,19.62µm
_0945_,19.575µm
_1454_,19.54µm
_1493_,19.54µm
_0106_,19.52µm
_0290_,19.52µm
_0473_,19.4µm
_1530_,19.38µm
_1211_,19.34µm
_0522_,19.28µm
_1466_,19.28µm
X_crt\[8\],19.24µm
_0753_,19.24µm
_1006_,19.24µm
_0669_,19.22µm
_0499_,19.2µm
_0174_,19.16µm
_0354_,19.14µm
_1050_,19.14µm
_1119_,19.14µm
net26,19.14µm
_1234_,19.04µm
_0748_,19µm
_0764_,19µm
_0685_,18.98µm
_0991_,18.98µm
_1203_,18.95µm
_1381_,18.94µm
_0328_,18.92µm
_1326_,18.9µm
_1215_,18.88µm
_1578_,18.84µm
_1204_,18.82µm
_0170_,18.78µm
_1214_,18.78µm
_1582_,18.78µm
_1455_,18.74µm
_0210_,18.68µm
_1447_,18.66µm
_0822_,18.58µm
_0712_,18.56µm
_1225_,18.56µm
_1424_,18.56µm
_1442_,18.52µm
_1093_,18.5µm
_0512_,18.4µm
_0593_,18.4µm
_1483_,18.4µm
_1566_,18.38µm
_0750_,18.32µm
_0762_,18.32µm
_1007_,18.3µm
_0132_,18.26µm
_0996_,18.18µm
_1256_,18.16µm
_0739_,18.14µm
_1552_,18.14µm
_0955_,18.12µm
_0415_,18.08µm
_0351_,18.06µm
_1450_,18.04µm
_0687_,18.02µm
_1123_,18.02µm
net44,18.02µm
_0823_,18µm
_1537_,17.98µm
_0516_,17.96µm
_1083_,17.94µm
_1124_,17.94µm
_1591_,17.94µm
_0898_,17.9µm
_1462_,17.9µm
net2,17.88µm
_0429_,17.86µm
_0476_,17.86µm
_1016_,17.86µm
net18,17.78µm
_0213_,17.74µm
_0151_,17.72µm
_0442_,17.7µm
_0559_,17.7µm
_1220_,17.7µm
_1398_,17.7µm
X_crt\[13\],17.68µm
_1479_,17.66µm
_1293_,17.65µm
_1508_,17.64µm
_0670_,17.6µm
_1015_,17.56µm
net21,17.56µm
_0305_,17.52µm
_0795_,17.52µm
_1177_,17.52µm
_0514_,17.48µm
_0452_,17.34µm
_0656_,17.34µm
net3,17.34µm
_0960_,17.32µm
_0535_,17.265µm
_1075_,17.26µm
_1603_,17.22µm
_0979_,17.18µm
_0715_,17.16µm
_0428_,17.12µm
_0723_,17.1µm
_1101_,17.1µm
_0336_,17.08µm
_0727_,17.08µm
_1347_,17.06µm
u_crt.r0\[0\],17.06µm
_0596_,17.04µm
_0837_,17.04µm
_0127_,17.02µm
_0480_,17.02µm
_1127_,17.02µm
_0986_,16.94µm
_1236_,16.94µm
_1133_,16.92µm
_0978_,16.82µm
_1556_,16.82µm
_1269_,16.74µm
_1137_,16.68µm
_0147_,16.62µm
_0374_,16.6µm
_0391_,16.6µm
_1573_,16.6µm
_0495_,16.58µm
_0120_,16.54µm
net22,16.54µm
_0713_,16.5µm
_1571_,16.48µm
net30,16.48µm
_1247_,16.44µm
_1390_,16.44µm
_0629_,16.42µm
net6,16.42µm
X_crt\[6\],16.38µm
_0270_,16.38µm
_0661_,16.37µm
_0721_,16.3µm
_1392_,16.26µm
_1369_,16.24µm
_0831_,16.22µm
_1150_,16.22µm
_1085_,16.2µm
_0676_,16.18µm
_0569_,16.16µm
Op_Sel[0],16.14µm
_1098_,16.12µm
_0405_,16.1µm
_1593_,16.1µm
X_crt\[7\],16.06µm
_0731_,16.06µm
_1094_,16.02µm
_1562_,16.02µm
_1076_,15.98µm
_0585_,15.95µm
_0342_,15.94µm
_0932_,15.94µm
_0621_,15.92µm
_1563_,15.92µm
_1504_,15.9µm
_0419_,15.88µm
net49,15.88µm
_0116_,15.84µm
_0741_,15.84µm
_1172_,15.84µm
_0738_,15.825µm
_1130_,15.8µm
_1364_,15.76µm
_1402_,15.74µm
_1270_,15.72µm
_1012_,15.7µm
_1082_,15.68µm
_1287_,15.68µm
_1590_,15.66µm
_0211_,15.64µm
_0680_,15.6µm
net43,15.6µm
_0619_,15.565µm
CU_state_dbg\[0\],15.56µm
_0109_,15.52µm
_0527_,15.48µm
_0828_,15.48µm
_1413_,15.435µm
_0432_,15.42µm
_0158_,15.4µm
_0431_,15.4µm
_0938_,15.38µm
_0643_,15.34µm
_0301_,15.3µm
_1121_,15.3µm
_1575_,15.3µm
_0686_,15.22µm
_1488_,15.22µm
_0921_,15.18µm
_0765_,15.16µm
_0678_,15.14µm
_0810_,15.14µm
_1602_,15.14µm
_0786_,15.115µm
_0770_,15.08µm
_1030_,15.06µm
_1334_,15.06µm
_0507_,14.98µm
_0632_,14.97µm
_0539_,14.95µm
_0118_,14.94µm
_0437_,14.94µm
_1072_,14.92µm
_0194_,14.86µm
net41,14.8µm
_0674_,14.76µm
_1243_,14.76µm
_1153_,14.74µm
_1553_,14.74µm
net16,14.72µm
_0719_,14.68µm
_0740_,14.68µm
_1138_,14.68µm
_0293_,14.66µm
_0871_,14.58µm
net14,14.58µm
_0124_,14.52µm
_0631_,14.52µm
_0166_,14.48µm
_1579_,14.44µm
_0277_,14.42µm
_0494_,14.42µm
_0550_,14.42µm
_1276_,14.385µm
_1280_,14.38µm
_1414_,14.375µm
_0689_,14.3µm
_0572_,14.295µm
_0425_,14.28µm
