Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_13-58-12/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
     1030 |       0 |     400 |      206 |      0 |   173 |   -7.801 |     -144.0 |     39 | _3238_/D
     1040 |       0 |     409 |      206 |      0 |   173 |   -7.802 |     -143.4 |     39 | _3238_/D
     1050 |       0 |     419 |      206 |      0 |   173 |   -7.803 |     -142.3 |     39 | _3238_/D
     1060 |       0 |     426 |      212 |      0 |   173 |   -7.816 |     -141.5 |     39 | _3238_/D
     1070 |       0 |     433 |      216 |      0 |   174 |   -7.816 |     -141.3 |     39 | _3238_/D
     1080 |       0 |     435 |      218 |      0 |   181 |   -7.816 |     -141.4 |     39 | _3238_/D
     1082 |       0 |     411 |      212 |      0 |   173 |   -7.801 |     -143.9 |     39 | _3238_/D
     1090 |       0 |     418 |      212 |      0 |   173 |   -7.802 |     -143.4 |     39 | _3238_/D
     1100 |       0 |     428 |      212 |      0 |   173 |   -7.803 |     -142.4 |     39 | _3238_/D
     1110 |       0 |     435 |      218 |      0 |   173 |   -7.816 |     -141.6 |     39 | _3238_/D
     1120 |       0 |     443 |      222 |      0 |   173 |   -7.816 |     -141.3 |     39 | _3238_/D
     1129 |       0 |     422 |      219 |      0 |   173 |   -7.801 |     -143.9 |     39 | _3238_/D
     1130 |       0 |     422 |      219 |      0 |   173 |   -7.801 |     -143.9 |     39 | _3238_/D
     1140 |       0 |     426 |      241 |      0 |   174 |   -7.801 |     -142.8 |     39 | _3238_/D
     1150 |       0 |     432 |      243 |      0 |   177 |   -7.801 |     -141.3 |     39 | _3238_/D
     1160 |       0 |     437 |      245 |      0 |   181 |   -7.801 |     -141.1 |     39 | _3238_/D
     1170 |       0 |     442 |      247 |      0 |   185 |   -7.801 |     -140.5 |     39 | _3238_/D
     1180 |       0 |     448 |      251 |      0 |   187 |   -7.801 |     -140.1 |     39 | _3238_/D
     1190 |       0 |     455 |      254 |      0 |   189 |   -7.801 |     -140.6 |     39 | _3238_/D
     1200 |       0 |     461 |      256 |      0 |   192 |   -7.801 |     -139.8 |     39 | _3238_/D
     1203 |       0 |     461 |      256 |      0 |   190 |   -7.801 |     -139.7 |     39 | _3238_/D
     1209 |       0 |     463 |      256 |      0 |   191 |   -7.801 |     -139.7 |     39 | _3238_/D
     1210 |       0 |     463 |      256 |      0 |   191 |   -7.801 |     -139.7 |     39 | _3238_/D
     1213 |       0 |     463 |      256 |      0 |   191 |   -7.801 |     -139.7 |     39 | _3238_/D
     1216 |       0 |     464 |      256 |      0 |   192 |   -7.801 |     -139.7 |     39 | _3238_/D
     1220 |       0 |     467 |      256 |      0 |   192 |   -7.801 |     -139.4 |     39 | _3238_/D
     1230 |       0 |     477 |      256 |      0 |   192 |   -7.801 |     -138.3 |     39 | _3238_/D
     1240 |       0 |     487 |      256 |      0 |   192 |   -7.801 |     -137.4 |     39 | _3238_/D
     1250 |       0 |     493 |      260 |      0 |   194 |   -7.801 |     -137.2 |     39 | _3238_/D
